Page 1 of 26,,,,,,,
"Local Level Authorities (Metropolitan, Sub-Metropolitan, Municipality, Rural Municipality)",,,,,,,
Dist. Code Name of District,,,Province:,1,,,
,01,Taplejung,,,,,
,SN,Municipality/ VC,Population,"No. of
Wards",Area (Km2),"Population
Density/Km2",Remarks
1,1,Phungling Municipality,"26,406",11,125.57,210,
,,Gaun Palika (Rural Municipal):,,,,,
2,2,Aatharai Triveni,"13,784",5,88.83,155,
3,3,Sidingawa,"12,099",7,206.00,59,
4,4,Phakatanglung,"12,017",7,"1,858.51",6,
5,5,Mikwa Khola,"9,160",5,442.96,21,
6,6,Meringden,"12,548",6,210.33,60,
7,7,Maiwa Khola,"11,037",6,138.00,80,
8,8,Yangbarak,"13,591",6,93.76,145,
9,9,Sirijunga,"15,806",8,481.09,33,
,,Total of District,"126,448",61,"3,645.05",,
"Dist. Code Name of District
02 Panchthar",,,Province:,1,,,
,SN,Municipality/ VC,Population,"No. of
Wards",Area (Km2),"Population
Density/Km2",Remarks
10,1,Phidim Municipality,"49,201",14,192.5,256,
,,Gaun Palika (Rural Municipal):,,,,,
11,1,Phalelung,"21,884",8,207.14,106,
12,2,Palgunanda,"24,060",7,107.53,224,
13,3,Hilihang,"22,913",7,123.01,186,
14,4,Kummayak,"16,118",5,129.3,125,
15,5,Miklajung,"24,715",8,166.61,148,
16,6,Tumbewa,"13,419",5,117.34,114,
17,7,Yangbarak,"18,281",6,208.63,88,
,,Total of District,"190,591",60,"1,252.06",,
Dist. Code Name of District,,,Province:,1,,,
,03,Ilam,,,,,
,SN,Municipality/ VC,Population,"No. of
Wards",Area (Km2),"Population
Density/Km2",Remarks
18,1,Ilam Municipality,"48,536",12,173.32,280,
19,2,Deumai Municipality,"32,927",9,191.63,172,
20,3,Mai Municipality,"32,576",10,246.11,132,
21,4,Suryodaya Municipality,"56,691",14,252.52,225,
,,Gaun Palika (Rural Municipal):,,,,
22,5,Phakaphokthum,"21,619",7,108.79,199,
23,6,Chulachuli,"20,820",6,108.46,192,
24,7,Mai Jogmai,"21,044",6,172.41,122,
25,8,Mangsebung,"18,503",6,142.41,130,
26,9,Rong,"19,135",6,155.06,123,
27,10,Sandakpur,"16,065",5,156.01,103,
,,Total of District,"287,916",81,"1,706.72",,

,,,,,,,,Page 2 of 26
Dist. Code Name of District,,,,Province:,1,,,
,04,Jhapa,,,,,,
,SN,,Municipality/ VC,Population,"No. of
Wards",Area (Km2),"Population
Density/Km2",Remarks
28,1,MechiNagar Municipality,,"111,797",15,192.85,580,
29,2,Damak Municipality,,"75,102",10,70.86,1060,
30,3,Kankai Municipality,,"40,141",9,80.98,496,
31,4,Bhadrapur Municipality,,"65,543",10,96.35,680,
32,5,Arjundhara Municipality,,"60,204",11,109.86,548,
33,6,ShivaSataxi Municipality,,"64,596",11,145.87,443,
34,7,Gauradaha Municipality,,"53,033",9,149.86,354,
35,8,Birtamod Municipality,,"81,878",10,78.24,1046,
,,Gaun Palika (Rural Municipal):,,,,,,
36,9,Kamal,,"44,365",7,104.57,424,
37,10,Gaurigunj,,"33,038",6,101.35,326,
38,11,Barhadashi,,"33,653",7,88.44,381,
39,12,Jhapa,,"34,601",7,94.12,368,
40,13,BuddaShanti,,"41,615",7,79.78,522,
41,14,Haldibari,,"29,223",5,117.34,249,
42,15,Kanchankawal,,"39,535",7,109.45,361,
,,Total of District,,"808,324",131,"1,619.92",,0
Dist. Code Name of District,,,,Province:,1,,,
,05,Morang,,,,,,
,SN,Municipality/ VC,,Population,"No. of
Wards",Area (Km2),"Population
Density/Km2",Remarks
43,1,Biratnagar Sub-Metrpolitan,,"214,663",19,77.00,2788,
44,2,Belbari Municipality,,"65,892",11,132.79,496,
45,3,Letang Municipality,,"32,053",9,219.23,146,
46,4,Pathari-Sanishchare Municiplaity,,"62,440",10,79.81,782,
47,5,Rangeli Municipality,,"52,013",9,111.78,465,
48,6,Ratuwamai Municipality,,"55,380",10,142.15,390,
49,7,Sunbarshi Municiplaity,,"50,758",9,106.40,477,
50,8,Urlabari Municipality,,"54,696",9,76.42,716,
51,9,SundarHaraincha Municipality,,"80,518",12,110.16,731,
,,Gaun Palika (Rural Municipal):,,,,,,
52,10,BudhiGanga,,"41,586",7,56.41,737,
53,11,Dhanpalthan,,"39,394",7,70.26,561,
54,12,Gramthan,,"32,717",7,71.84,455,
55,13,Jahada,,"41,819",7,62.38,670,
56,14,Kanepokhari,,"38,033",7,82.83,459,
57,15,Katahari,,"39,775",7,51.59,771,
58,16,Kerabari,,"30,431",10,219.83,138,
59,17,Miklajung,,"28,708",9,158.98,181,
,,Total of District,,"960,876",159,"1,829.86",,
Dist. Code Name of District,,,Province:,1,,,,
,06,Sunasari,,,,,,
,SN,Municipality/ VC,Population,"No. of
Wards",,Area (Km2),"Population
Density/Km2",Remarks
60,1,Itahari Sub-Metropolitan,"140,517",20,,93.78,1498,
61,2,Dharan Sub-Metropolitan,"137,705",20,,192.32,716,
62,3,Inaruwa Municipality,"63,593",10,,77.92,816,
63,4,Duhabi Municipality,"56,269",12,,76.67,734,
64,5,Ramdhuni Municipality,"51,752",9,,91.69,564,
65,6,Baraha Municipality,"77,408",11,,222.09,349,

,,,,,,,Page 3 of 26
,,Gaun Palika (Rural Municipal):,,,,,
